"Date","ExchangeRate"
"12 Jan 24","1.2761"
"11 Jan 24","1.2714"
"10 Jan 24","1.2736"
"09 Jan 24","1.2704"
"08 Jan 24","1.275"
"05 Jan 24","1.2752"
"04 Jan 24","1.2699"
"03 Jan 24","1.2628"
"02 Jan 24","1.2625"
"29 Dec 23","1.2747"
"28 Dec 23","1.277"
"27 Dec 23","1.2789"
"22 Dec 23","1.2716"
"21 Dec 23","1.2656"
"20 Dec 23","1.2668"
"19 Dec 23","1.2739"
"18 Dec 23","1.2645"
"15 Dec 23","1.2699"
"14 Dec 23","1.276"
"13 Dec 23","1.2526"
"12 Dec 23","1.2561"
"11 Dec 23","1.2551"
"08 Dec 23","1.2547"
"07 Dec 23","1.2574"
"06 Dec 23","1.2593"
"05 Dec 23","1.2613"
"04 Dec 23","1.2612"
"01 Dec 23","1.2635"
"30 Nov 23","1.2656"
"29 Nov 23","1.2697"
"28 Nov 23","1.2683"
"27 Nov 23","1.2607"
"24 Nov 23","1.2608"
"23 Nov 23","1.2531"
"22 Nov 23","1.246"
"21 Nov 23","1.2533"
"20 Nov 23","1.2493"
"17 Nov 23","1.2433"
"16 Nov 23","1.2444"
"15 Nov 23","1.2444"
"14 Nov 23","1.2455"
"13 Nov 23","1.2253"
"10 Nov 23","1.2198"
"09 Nov 23","1.2287"
"08 Nov 23","1.2296"
"07 Nov 23","1.2305"
"06 Nov 23","1.2397"
"03 Nov 23","1.2373"
"02 Nov 23","1.2173"
"01 Nov 23","1.2126"
"31 Oct 23","1.2134"
"30 Oct 23","1.2156"
"27 Oct 23","1.2141"
"26 Oct 23","1.2121"
"25 Oct 23","1.2144"
"24 Oct 23","1.2178"
"23 Oct 23","1.2208"
"20 Oct 23","1.215"
"19 Oct 23","1.2143"
"18 Oct 23","1.2146"
"17 Oct 23","1.2182"
"16 Oct 23","1.2189"
"13 Oct 23","1.2141"
"12 Oct 23","1.2214"
"11 Oct 23","1.2312"
"10 Oct 23","1.2257"
"09 Oct 23","1.221"
"06 Oct 23","1.2188"
"05 Oct 23","1.216"
"04 Oct 23","1.2115"
"03 Oct 23","1.208"
"02 Oct 23","1.2122"
"29 Sep 23","1.2207"
"28 Sep 23","1.2198"
"27 Sep 23","1.213"
"26 Sep 23","1.2168"
"25 Sep 23","1.2198"
"22 Sep 23","1.2265"
"21 Sep 23","1.2288"
"20 Sep 23","1.2398"
"19 Sep 23","1.2402"
"18 Sep 23","1.238"
"15 Sep 23","1.2395"
"14 Sep 23","1.2415"
"13 Sep 23","1.249"
"12 Sep 23","1.2466"
"11 Sep 23","1.2529"
"08 Sep 23","1.2485"
"07 Sep 23","1.2476"
"06 Sep 23","1.2491"
"05 Sep 23","1.2554"
"04 Sep 23","1.2618"
